state,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0
CA,1000,2700,0,350,9575,9100,5225,2500,0,0,0,30450
CO,0,500,0,0,0,0,0,0,0,0,0,500
CT,1000,3450,1000,2500,6400,250,0,0,0,0,0,14600
DE,0,0,0,0,0,0,0,0,0,0,0,0
DC,500,3700,0,0,0,0,0,0,0,0,0,4200
FL,2950,1100,13750,1000,1500,0,0,1000,0,0,0,21300
GA,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0
IL,2950,0,0,0,0,0,0,1250,0,0,0,4200
IN,0,0,0,0,0,0,0,0,0,0,0,0
IA,0,0,0,0,0,0,1000,0,0,0,0,1000
KS,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,0,0,0,0,0,0,0,0,0
MD,1000,1000,0,0,1000,0,0,1000,0,0,0,4000
MA,5400,0,0,0,0,250,0,0,0,0,0,5650
MI,0,500,0,0,0,0,0,0,0,0,0,500
MN,0,0,0,0,0,0,5000,0,0,0,0,5000
MS,0,0,0,0,0,0,0,0,0,0,0,0
MO,0,250,0,1000,0,0,0,0,0,0,0,1250
MT,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,1000,0,0,0,0,0,3000,0,0,0,4000
NH,500,0,0,1000,0,3950,0,0,0,0,0,5450
NJ,8200,35100,0,0,3700,8100,0,0,0,0,0,55100
NM,0,500,0,0,0,0,250,0,0,0,0,750
NY,16350,146166.46,16529.36,33600,41300,28450,3000,1200,0,0,0,286595.82
NC,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,0,0,0,0,0,0,0,0,0,0,0
OH,0,1250,0,0,0,0,0,0,0,0,0,1250
OK,250,0,0,0,0,0,0,0,0,0,0,250
OR,0,0,0,0,5400,0,0,0,0,0,0,5400
PA,0,0,0,375,0,0,0,250,0,0,0,625
RI,0,0,250,0,0,0,0,0,0,0,0,250
SC,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,0,0,0,0,0,0,0,0,0,0,0
TN,0,0,0,0,0,1000,0,0,0,0,0,1000
TX,750,1000,0,2000,0,0,2250,0,0,0,0,6000
UT,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,250,0,0,0,250
VA,250,520.16,750,500,8150,0,400,0,0,0,0,10570.16
WA,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,0,0,0,0,0,0,0,0,0,0,0
WI,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,0,0,0,0,0,0,0,0,0,0,0
